Table Name,File Path,Data Element,Data Type,Bizterm Group,Layer,Business Term,Description,Biz Logic,Origin (Source Data),Sensitivity (PII/non PII),Impact,Time Aggregation,Possible Values
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_los,bigint,customer_profile,primary,,Length of relation the customer holds with the telco,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - fea_custprof_los,No,Low,Weekly,Any number
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_status,string,customer_profile,primary,,"Status of the MSISDN sim (active, deactivated, grace)",,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - fea_custprof_status,No,Low,Weekly,Any string
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_brand,string,customer_profile,primary,,Which brand of sim is the customer using,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - fea_custprof_brand,No,Low,Weekly,Any string
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_price_plan,string,customer_profile,primary,,Price plan of trhe MSISDN,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - fea_custprof_price_plan,No,Low,Weekly,Any string
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_cust_type_desc,string,customer_profile,primary,,Customer type,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - fea_custprof_cust_type_desc,No,Low,Weekly,Any string
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_cust_subtype_desc,string,customer_profile,primary,,Customer subtype,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - fea_custprof_cust_subtype_desc,No,Low,Weekly,Any string
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_segment_hvc_mtd,tinyint,customer_profile,primary,,Is the MSISDN a high value customer,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - fea_custprof_segment_hvc_mtd,No,Low,Weekly,Any number
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_segment_hvc_m1,tinyint,customer_profile,primary,,Is the MSISDN a high value customer,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - fea_custprof_segment_hvc_m1,No,Low,Weekly,Any number
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_loyalty_tier,string,customer_profile,primary,,Loyalty tier of the customer,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - fea_custprof_loyalty_tier,No,Low,Weekly,Any string
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_nik_gender,string,customer_profile,primary,,Gender of customer as per NIK,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - fea_custprof_nik_gender,No,Low,Weekly,Any string
